Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,7,7,Crowley D.,,6.5,,79',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,8,26,Wiles B.,,7.2,,72',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,9,16,Nemane A.,,6.4,,59',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,10,9,Hogan S.,,5.8,,72',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Titolare,11,10,Collins A.,,7.3,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Panchina,1,54,Boateng E.,,,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Panchina,2,46,Burke J.,,6.3,98',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Panchina,3,6,Kelly L.,,7.0,72',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Panchina,4,17,Leko J.,,6.4,79',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Panchina,5,28,Matete J.,,7.4,72',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Panchina,6,13,Paterson C.,,6.6,72',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Panchina,7,44,Singh-Hurditt D.,,,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Panchina,8,34,Tripp C.,,6.9,59',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,3-1-4-2,Panchina,9,27,Trueman C.,Portiere,,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,1,21,Ingram M.,Portiere,8.4,,,femlyACb
