Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,71',Ospite,Sostituzione - Entra,Virtue-Thick M.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,72',Ospite,Sostituzione - Esce,Davies W.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,72',Ospite,Sostituzione - Entra,Devonport O.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,75',Casa,Sostituzione - Esce,Johnson M.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,75',Casa,Sostituzione - Entra,Headley J.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,78',Casa,Sostituzione - Esce,Waine B.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,78',Casa,Sostituzione - Entra,Brown D.,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,2 Tempo,85',Casa,Cartellino Giallo,Gauci J.,,2PUtsuqK
FA Cup,3° turno,10.01.2026,Everton,Sunderland,1 Tempo,30',Ospite,Gol,Le Fee E.,0-1,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,1 Tempo,30',Ospite,Assist,Mayenda E.,0-1,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,1 Tempo,45+1',Ospite,Cartellino Giallo,Sadiki N.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,71',Ospite,Sostituzione - Esce,Adingra S.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,71',Ospite,Sostituzione - Entra,Brobbey B.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,71',Ospite,Sostituzione - Esce,Mayenda E.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,71',Ospite,Sostituzione - Entra,Ballard D.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,75',Casa,Sostituzione - Esce,Dibling T.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,75',Casa,Sostituzione - Entra,Barry T.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,86',Casa,Sostituzione - Esce,Rohl M.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,86',Casa,Sostituzione - Entra,Aznou A.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,88',Ospite,Cartellino Giallo,Xhaka G.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,89',Casa,Rigore Assegnato,Garner J.,1-1,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,89',Casa,Rigore,Garner J.,1-1,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,90+1',Ospite,Cartellino Giallo,Ballard D.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,2 Tempo,90+2',Casa,Cartellino Giallo,Barry T.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,104',Casa,Sostituzione - Esce,Mykolenko V.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,104',Casa,Sostituzione - Entra,Campbell E.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,105',Ospite,Sostituzione - Esce,Brobbey B.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,105',Ospite,Sostituzione - Entra,Isidor W.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,109',Ospite,Cartellino Giallo,Mukiele N.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,115',Ospite,Cartellino Giallo,Hume T.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,116',Casa,Sostituzione - Esce,Patterson N.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Supplementari,116',Casa,Sostituzione - Entra,Welch R.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,1,Casa,Rigore Assegnato,Garner J.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,1,Casa,Rigore sbagliato,Garner J.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,1,Ospite,Rigore Assegnato,Le Fee E.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,1,Ospite,Rigore,Le Fee E.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,2,Casa,Rigore Assegnato,Barry T.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,2,Casa,Rigore sbagliato,Barry T.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,2,Ospite,Rigore Assegnato,Xhaka G.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,2,Ospite,Rigore,Xhaka G.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,3,Casa,Rigore Assegnato,Beto,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,3,Casa,Rigore sbagliato,Beto,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,3,Ospite,Rigore Assegnato,O'Nien L.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Everton,Sunderland,Rigori,3,Ospite,Rigore,O'Nien L.,,OY97SuUQ
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,1 Tempo,43',Casa,Gol,Dawson P.,1-0,4S3fD3PF
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,1 Tempo,43',Casa,Assist,Duffy L.,1-0,4S3fD3PF
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,1 Tempo,45+2',Casa,Cartellino Giallo,Kay J.,,4S3fD3PF
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,2 Tempo,46',Ospite,Sostituzione - Esce,Canvot J.,,4S3fD3PF
