Giornata,Data,Squadra,Campo,Avversario,Risultato squadra,Esito,Periodo,Goal previsti (xG),Possesso palla %,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi riusciti,Passaggi totali,Passaggi %,Cartellini gialli,Cartellini rossi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi riusciti,Passaggi lunghi totali,Passaggi lunghi %,Passaggi offensivi riusciti,Passaggi offensivi totali,Passaggi offensivi %,Cross riusciti,Cross totali,Cross %,Assist previsti (xA),Rimesse Laterali,Falli,Tackles riusciti,Tackles totali,Tackles %,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati,Gol di testa
3,15.09.2025,Como,Casa,Genoa,1-1,N,2° tempo,0.58,48,4,1,0,0,153,188,81,1,1,0.13,1,2,3,1,0,8,0,0,7,15,29,52,35,49,71,0,4,0,0.28,13,10,4,7,57,22,16,5,0,0,1,1.01,0.01,
3,15.09.2025,Genoa,Trasferta,Como,1-1,N,2° tempo,1.37,52,8,3,3,6,167,199,84,1,0,1.01,0,5,6,2,1,17,0,0,10,11,19,58,39,55,71,2,11,18,0.62,13,7,9,12,75,39,15,5,0,0,1,0.13,0.13,
3,13.09.2025,Fiorentina,Casa,Napoli,1-3,P,Totale,1.65,53,19,3,2,8,373,456,82,,,0.43,8,8,14,5,0,32,1,0,14,18,47,38,69,112,62,7,23,30,1.44,14,14,7,13,54,52,15,6,0,0,5,3.53,0.53,
3,13.09.2025,Napoli,Trasferta,Fiorentina,3-1,V,Totale,3.29,47,14,9,6,5,346,419,83,,,3.53,2,3,11,3,1,27,2,0,14,16,47,34,72,105,69,1,12,8,1.71,11,14,11,14,79,53,32,6,1,0,2,0.43,-0.57,
3,13.09.2025,Fiorentina,Casa,Napoli,1-3,P,1° tempo,0.47,51,6,0,0,2,199,238,84,,,0,3,3,5,1,0,9,0,0,6,8,23,35,30,51,59,2,7,29,0.3,8,6,3,6,50,23,9,3,0,0,2,2.23,0.23,
3,13.09.2025,Napoli,Trasferta,Fiorentina,3-1,V,1° tempo,2.08,49,7,5,3,2,200,232,86,,,2.23,0,2,6,1,0,16,2,0,6,7,19,37,39,54,72,0,7,0,0.86,2,6,5,6,83,22,13,2,0,0,0,0,0,
3,13.09.2025,Fiorentina,Casa,Napoli,1-3,P,2° tempo,1.18,55,13,3,2,6,174,218,80,,,0.43,5,5,9,4,0,23,1,0,8,10,24,42,39,61,64,5,16,31,1.14,6,8,4,7,57,29,6,3,0,0,3,1.3,0.3,
3,13.09.2025,Napoli,Trasferta,Fiorentina,3-1,V,2° tempo,1.21,45,7,4,3,3,146,187,78,,,1.3,2,1,5,2,1,11,0,0,8,9,28,32,33,51,65,1,5,20,0.85,9,8,6,8,75,31,19,4,1,0,2,0.43,-0.57,
3,13.09.2025,Juventus,Casa,Inter,4-3,V,Totale,0.68,41,12,4,1,5,296,357,83,2,,1.23,3,5,5,7,0,15,1,1,10,14,37,38,56,83,67,3,10,30,0.66,14,14,10,17,59,40,38,6,1,0,1,1.18,-1.82,1
3,13.09.2025,Inter,Trasferta,Juventus,3-4,P,Totale,0.96,59,18,4,1,9,452,503,90,2,,1.18,8,6,8,10,0,33,0,1,14,20,30,67,158,186,85,10,32,31,1.08,21,10,4,9,44,44,19,6,0,0,0,1.23,-2.77,1
3,13.09.2025,Juventus,Casa,Inter,4-3,V,1° tempo,0.44,37,7,2,0,4,124,159,78,1,,0.25,1,4,3,4,0,11,1,0,4,5,23,22,20,32,63,1,7,14,0.46,6,9,4,8,50,15,15,3,0,0,1,0.71,-0.29,
3,13.09.2025,Inter,Trasferta,Juventus,3-4,P,1° tempo,0.51,63,10,2,0,3,255,281,91,0,,0.71,5,3,3,7,0,13,0,0,9,12,18,67,73,87,84,3,13,23,0.36,10,4,1,2,50,24,14,5,0,0,0,0.25,-1.75,
