Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Panchina,3,28,Blaswich J.,Portiere,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Panchina,4,42,Culbreath M.,,6.5,77',,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Panchina,5,6,Fernandez E.,,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Panchina,6,7,Hofmann J.,,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Panchina,7,15,Oermann T.,,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Panchina,8,19,Poku E.,,7.0,39',,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Casa,Leverkusen,3-4-2-1,Panchina,9,10,Tillman M.,,,84',,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,1,1,Neuer M.,Portiere,7.3,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,2,44,Stanisic J.,,7.0,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,3,2,Upamecano D.,,8.4,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,4,4,Tah J.,,7.9,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,5,27,Laimer K.,,6.5,,74',l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,6,6,Kimmich J.,,8.2,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,7,45,Pavlovic A.,,7.2,,73',l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,8,17,Olise M.,,8.4,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,9,10,Musiala J.,,8.1,,84',l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,10,14,Diaz L.,,8.8,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Titolare,11,9,Kane H.,,7.8,,,l4zH1xXP
