league,season,date,home_team,away_team,result,m_home_c,k_home_c,c_model,c_market,deficit,home_won,imbalance_model,imbalance_market,disagreement,abs_disagreement,favourite_agree,matchday,month,m_home,m_draw,m_away,k_home,k_draw,k_away
la_liga,2122,2022-02-20,Ath Bilbao,Sociedad,H,0.5582514628760066,0.6165540540540541,0.582945767797759,0.48360928130151415,0.09933648649624482,1.0,0.11650292575201315,0.23310810810810811,-0.05830259117804748,0.05830259117804748,True,81,2,0.37236725882358224,0.3329757580836133,0.2946569830928045,0.42262209821004876,0.3145416927661675,0.26283620902378374
la_liga,2122,2022-02-20,Betis,Mallorca,H,0.817945881754926,0.7989690721649484,0.20095910379181484,0.22443304214408158,-0.023473938352266743,1.0,0.635891763509852,0.5979381443298968,0.018976809589977606,0.018976809589977606,True,81,2,0.6354162410946086,0.2231561338369904,0.14142762506840087,0.6164622971262305,0.22842783456458898,0.15510986830918058
la_liga,2122,2022-02-20,Valencia,Barcelona,A,0.326962871378106,0.3491228070175439,0.39595478203018725,0.42943429822116064,-0.03347951619097339,0.0,0.34607425724378804,0.3017543859649122,-0.02215993563943791,0.02215993563943791,True,81,2,0.24748693541545,0.24307327504090984,0.5094397895436402,0.2594939129769559,0.25672597790520174,0.4837801091178424
la_liga,2122,2022-02-25,Levante,Elche,H,0.590939440350238,0.6515151515151515,0.5260417366229787,0.42845462633286313,0.09758711029011558,1.0,0.1818788807004761,0.303030303030303,-0.06057571116491345,0.06057571116491345,True,82,2,0.42410925899139873,0.28231349943399,0.2935772415746111,0.4641137502019712,0.2876393601551139,0.2482468896429148
la_liga,2122,2022-02-26,Mallorca,Valencia,A,0.4459080907050879,0.5868794326241135,0.5904247047405904,0.8840157979323583,-0.2935910931917679,0.0,0.10818381858982418,0.17375886524822692,-0.14097134191902555,0.14097134191902555,False,83,2,0.3222622922676911,0.2772898743368461,0.40044783339546286,0.41117533569096637,0.2993870412999849,0.2894376230090488
la_liga,2122,2022-02-26,Vallecano,Real Madrid,A,0.2397964339809793,0.20657894736842108,0.2741690315421467,0.23140123655319136,0.04276779498895536,0.0,0.5204071320380415,0.5868421052631578,0.03321748661255822,0.03321748661255822,True,83,2,0.1777563064531169,0.25871997551382864,0.5635237180330546,0.15941162141759782,0.22832590906130998,0.6122624695210923
la_liga,2122,2022-02-26,Ath Madrid,Celta,H,0.7967375091364038,0.764945652173913,0.227230003075979,0.26795049058918596,-0.04072048751320698,1.0,0.5934750182728077,0.5298913043478259,0.03179185696249087,0.03179185696249087,True,83,2,0.6053284028902295,0.2402411133544417,0.15443048375532858,0.5537584575570238,0.2760813059290061,0.17016023651397003
la_liga,2122,2022-02-27,Barcelona,Ath Bilbao,H,0.7891331095021493,0.816867469879518,0.2368202657722746,0.20227841285024817,0.03454185292202644,1.0,0.5782662190042986,0.6337349397590359,-0.02773436037736865,0.02773436037736865,True,84,2,0.5984792187359025,0.2415991528812258,0.15992162838287188,0.6325125482879141,0.22568522849709613,0.1418022232149896
la_liga,2122,2022-02-27,Sevilla,Betis,H,0.7276211968876481,0.6093750000000001,0.3179747001516748,0.49532143723002525,-0.17734673707835047,1.0,0.4552423937752963,0.21875000000000022,0.11824619688764804,0.11824619688764804,True,84,2,0.5306915856407157,0.27064853537704214,0.19865987898224213,0.42738998740768475,0.29864207194636355,0.2739679406459518
la_liga,2122,2022-02-27,Sociedad,Osasuna,H,0.7129755634494337,0.6208053691275168,0.3383081320171134,0.4767376614270796,-0.13842952940996617,1.0,0.4259511268988674,0.24161073825503365,0.09217019432191687,0.09217019432191687,True,84,2,0.5042941366927591,0.29269085429387914,0.20301500901336167,0.42476699747737956,0.31578072838778876,0.2594522741348318
la_liga,2122,2022-02-27,Villarreal,Espanol,H,0.8146140597089315,0.8077889447236182,0.20504082426917505,0.2134544616067635,-0.008413637337588459,1.0,0.629228119417863,0.6155778894472363,0.006825114985313352,0.006825114985313352,True,84,2,0.6321950774478969,0.223933014765562,0.14387190778654105,0.6284186553571066,0.22205093364812312,0.1495304109947703
