Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,10,72,Pannozzo N.,Portiere,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,11,9,Pedro,,6.3,103',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,12,3,Pellegrini Lu.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,13,25,Provstgaard O.,,6.2,77',,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,14,28,Przyborek A.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,22.04.2026,Atalanta,Lazio,Ospite,Lazio,4-3-3,Panchina,15,20,Ratkov P.,,,,,UTn2mTd2
Coppa Italia,SEMI FINALI,21.04.2026,Inter,Como,Casa,Inter,3-5-2,Titolare,1,13,Martinez J.,Portiere,7.7,,,vyzoWyLG
Coppa Italia,SEMI FINALI,21.04.2026,Inter,Como,Casa,Inter,3-5-2,Titolare,2,25,Akanji M.,,6.8,,,vyzoWyLG
Coppa Italia,SEMI FINALI,21.04.2026,Inter,Como,Casa,Inter,3-5-2,Titolare,3,15,Acerbi F.,,7.5,,74',vyzoWyLG
Coppa Italia,SEMI FINALI,21.04.2026,Inter,Como,Casa,Inter,3-5-2,Titolare,4,30,Carlos Augusto,,6.8,,,vyzoWyLG
Coppa Italia,SEMI FINALI,21.04.2026,Inter,Como,Casa,Inter,3-5-2,Titolare,5,11,Luis Henrique,,7.5,,84',vyzoWyLG
