Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Casa,Arsenal,4-3-3,Panchina,9,4,White B.,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,1,1,Sanchez R.,Portiere,6.7,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,2,29,Fofana W.,,6.4,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,3,23,Chalobah T.,,6.3,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,4,21,Hato J.,,6.0,,60',f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,5,27,Gusto M.,,6.3,,87',f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,6,25,Caicedo M.,,7.0,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,7,17,Andrey Santos,,7.1,,75',f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,8,8,Fernandez E.,Capitano,7.7,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,9,3,Cucurella M.,,6.3,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,10,9,Delap L.,,6.2,,60',f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Titolare,11,20,Joao Pedro,,5.8,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Panchina,1,34,Acheampong J.,,,87',,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Panchina,2,5,Badiashile B.,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Panchina,3,41,Estêvão,,5.9,60',,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Panchina,4,49,Garnacho A.,,6.4,75',,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Panchina,5,38,Guiu M.,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Panchina,6,75,Holland C.,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Panchina,7,62,Mheuka S.,,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Panchina,8,10,Palmer C.,,6.4,60',,f3TFiSUj
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,Ospite,Chelsea,3-5-2,Panchina,9,28,Sharman-Lowe T.,Portiere,,,,f3TFiSUj
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,1,1,Sanchez R.,Portiere,5.5,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,2,34,Acheampong J.,,6.1,,53',OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,3,23,Chalobah T.,,5.7,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,4,29,Fofana W.,,5.8,,75',OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,5,3,Cucurella M.,,5.5,,81',OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,6,17,Andrey Santos,,5.8,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,7,8,Fernandez E.,Capitano,7.5,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,8,41,Estêvão,,7.0,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,9,20,Joao Pedro,,6.0,,81',OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,10,7,Neto P.,,7.2,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Titolare,11,38,Guiu M.,,5.9,,53',OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Panchina,1,4,Adarabioyo T.,,,81',,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Panchina,2,5,Badiashile B.,,6.1,53',,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Panchina,3,40,Buonanotte F.,,,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Panchina,4,14,Essugo D.,,,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Panchina,5,49,Garnacho A.,,8.2,53',,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Panchina,6,32,George T.,,,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Panchina,7,21,Hato J.,,6.4,75',,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Panchina,8,12,Jorgensen F.,Portiere,,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Casa,Chelsea,4-2-3-1,Panchina,9,62,Mheuka S.,,,81',,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,1,13,Arrizabalaga K.,Portiere,6.5,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,2,4,White B.,,7.3,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,3,2,Saliba W.,,6.7,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,4,6,Gabriel,,6.8,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,5,12,Timber J.,,6.4,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,6,8,Odegaard M.,Capitano,6.5,,68',OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,7,36,Zubimendi M.,,7.8,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,8,41,Rice D.,,8.3,,82',OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,9,7,Saka B.,,6.8,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,10,14,Gyökeres V.,,8.1,,82',OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Titolare,11,19,Trossard L.,,6.7,,67',OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Panchina,1,10,Eze E.,,,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Panchina,2,9,Gabriel Jesus,,,82',,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Panchina,3,29,Havertz K.,,,82',,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Panchina,4,49,Lewis-Skelly M.,,,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Panchina,5,20,Madueke N.,,,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Panchina,6,11,Martinelli G.,,6.7,67',,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Panchina,7,23,Merino M.,,7.0,68',,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Panchina,8,16,Norgaard C.,,,,,OG6rAzoI
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,Ospite,Arsenal,4-3-3,Panchina,9,1,Raya D.,Portiere,,,,OG6rAzoI
