Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,77',Ospite,Sostituzione - Entra,Cherki R.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,83',Ospite,Cartellino Giallo,Lewis R.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,87',Casa,Sostituzione - Esce,Bruno Guimaraes,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,87',Casa,Sostituzione - Entra,Trippier K.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,88',Ospite,Sostituzione - Esce,Ake N.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,88',Ospite,Sostituzione - Entra,Ait-Nouri R.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,90',Casa,Cartellino Giallo,Trippier K.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,90+2',Casa,Cartellino Giallo,Tonali S.,,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,90+8',Ospite,Gol,Cherki R.,0-2,nRFrXndL
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,2 Tempo,90+8',Ospite,Assist,Ait-Nouri R.,0-2,nRFrXndL
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,46',Ospite,Sostituzione - Esce,Nketiah E.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,46',Ospite,Sostituzione - Entra,Devenny J.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,46',Ospite,Sostituzione - Esce,Canvot J.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,46',Ospite,Sostituzione - Entra,Clyne N.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,59',Casa,Sostituzione - Esce,Martinelli G.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,59',Casa,Sostituzione - Entra,Trossard L.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,67',Casa,Sostituzione - Esce,Eze E.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,67',Casa,Sostituzione - Entra,Odegaard M.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,67',Casa,Sostituzione - Esce,Madueke N.,,lAjU9kWj
