competizione,turno,data,casa,ospite,game_id,b_arbitro,b_allenatori,b_undici_titolari,b_minuti_giocati,b_sostituzioni,b_statistiche_individuali,b_statistiche_squadra,incrociabile
Coppa Italia,First Round,2025-08-18,Audace Cerignola,Hellas Verona,4669575.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-18,Spezia Calcio,UC Sampdoria,4631316.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-18,Torino FC,Modena FC,4631318.0,True,True,True,True,True,True,True,True
Coppa Italia,First Round,2025-08-18,Udinese Calcio,Carrarese Calcio 1908,4631317.0,True,True,True,True,True,True,True,True
Coppa Italia,Second Round,2025-09-23,AC Milan,US Lecce,4709224.0,True,True,True,True,True,True,True,True
Coppa Italia,Second Round,2025-09-23,Cagliari Calcio,Frosinone Calcio,4709227.0,True,True,True,True,True,True,True,True
Coppa Italia,Second Round,2025-09-23,Udinese Calcio,Palermo FC,4709641.0,True,True,True,True,True,True,True,True
Coppa Italia,Second Round,2025-09-24,Como 1907,US Sassuolo,4709226.0,True,True,True,True,True,True,True,True
Coppa Italia,Second Round,2025-09-24,Hellas Verona,Venezia FC,4709561.0,True,True,True,True,True,True,True,True
Coppa Italia,Second Round,2025-09-24,Parma Calcio 1913,Spezia Calcio,4709560.0,True,True,True,True,True,True,True,True
Coppa Italia,Second Round,2025-09-25,Genoa CFC,FC Empoli,4709225.0,True,True,True,True,True,True,True,True
Coppa Italia,Second Round,2025-09-25,Torino FC,Pisa Sporting Club,4709642.0,True,True,True,True,True,True,True,True
Coppa Italia,Round of 16,2025-12-02,Juventus FC,Udinese Calcio,4736145.0,True,True,True,True,True,True,True,True
Coppa Italia,Round of 16,2025-12-03,Atalanta BC,Genoa CFC,4736146.0,True,True,True,True,True,True,True,True
Coppa Italia,Round of 16,2025-12-03,Inter Milan,Venezia FC,4736147.0,True,True,True,True,True,True,True,True
Coppa Italia,Round of 16,2025-12-03,SSC Napoli,Cagliari Calcio,4736150.0,True,True,True,True,True,True,True,True
Coppa Italia,Round of 16,2025-12-04,Bologna Football Club 1909,Parma Calcio 1913,4736143.0,True,True,True,True,True,True,True,True
Coppa Italia,Round of 16,2025-12-04,Società Sportiva Lazio S.p.A.,AC Milan,4736144.0,True,True,True,True,True,True,True,True
Coppa Italia,Round of 16,2026-01-13,Associazione Sportiva Roma,Torino FC,4736148.0,True,True,True,True,True,True,True,True
Coppa Italia,Round of 16,2026-01-27,ACF Fiorentina,Como 1907,4736149.0,True,True,True,True,True,True,True,True
Coppa Italia,Quarter-Finals,2026-02-04,Inter Milan,Torino FC,4785786.0,True,True,True,True,True,True,True,True
Coppa Italia,Quarter-Finals,2026-02-05,Atalanta BC,Juventus FC,4785785.0,True,True,True,True,True,True,True,True
Coppa Italia,Quarter-Finals,2026-02-10,SSC Napoli,Como 1907,4785787.0,True,True,True,True,True,True,True,True
Coppa Italia,Quarter-Finals,2026-02-11,Bologna Football Club 1909,Società Sportiva Lazio S.p.A.,4785784.0,True,True,True,True,True,True,True,True
Coppa Italia,Semi-Finals 1st Leg,2026-03-03,Como 1907,Inter Milan,4824553.0,True,True,True,True,True,True,True,True
Coppa Italia,Semi-Finals 1st Leg,2026-03-04,Società Sportiva Lazio S.p.A.,Atalanta BC,4824554.0,True,True,True,True,True,True,True,True
Coppa Italia,Semi-Finals 2nd Leg,2026-04-21,Inter Milan,Como 1907,4824555.0,True,True,True,True,True,True,True,True
Coppa Italia,Semi-Finals 2nd Leg,2026-04-22,Atalanta BC,Società Sportiva Lazio S.p.A.,4824556.0,True,True,True,True,True,True,True,True
Coppa Italia,Final,2026-05-13,Lazio,Internazionale,,True,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-14,AS Cannes,FC Annecy,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-14,Olympique de Villefontaine,Grenoble Foot 38,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,AA Lapalisse,Stade poitevin FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,AC Cambrai,Entente Feignies Aulnoye,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,AC Seyssinet,SC Aubagne Air-Bel,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,AF Biars-Bretenoux,LB Châteauroux,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,APM Metz FC,FC Fleury 91,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,AS Gouzon,US Chauvigny,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,AS Magenta,FC Mulhouse,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,AS Montréal-la Cluse,FC Chalon,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,AS Quetigny,AS Saint-Étienne,,False,False,False,False,False,False,False,False
