competizione,paese,turno,data,casa,ospite,gol_casa_90,gol_ospite_90,gol_casa_finale,gol_ospite_finale,rigori_casa,rigori_ospite,supplementari,gol_casa_dichiarato,gol_ospite_dichiarato,eventi_incompleti,divisione_casa,divisione_ospite,dentro_perimetro,arbitro,stadio,spettatori,allenatore_casa,allenatore_ospite,modulo_casa,modulo_ospite,game_id,competition_id,home_club_id,away_club_id,fonte,url,sigla_divisione_casa,sigla_divisione_ospite
Copa del Rey,ES,First Round,2025-10-29,CDA Navalcarnero,Mérida AD,2,1,2,1,,,False,2,1,False,3.0,3.0,True,Néstor Holgueras Castellanos,Mariano González,1500.0,Manu González,Fran Beltrán,4-4-2,4-4-2,4743309,CDR,20921,46854,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743309,,
Copa del Rey,ES,First Round,2025-10-29,CF Lorca Deportiva,UD Almería,0,2,0,2,,,False,0,2,False,3.0,2.0,True,Andrés Fuentes Molina,Francisco Artés Carrasco,4000.0,Sebas López,Rubi,5-4-1,4-3-3 Attacking,4743297,CDR,49806,3302,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743297,,
Copa del Rey,ES,First Round,2025-10-29,Caudal Deportivo,Sporting Gijón,0,1,0,1,,,False,0,1,False,3.0,2.0,True,Gorka Etayo Herrera,Hermanos Antuña,2600.0,Adrián González,Borja Jiménez,4-4-2,4-2-3-1,4743265,CDR,13226,2448,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743265,,
Copa del Rey,ES,First Round,2025-10-29,Ciudad Lucena,Villarreal CF,0,6,0,6,,,False,0,6,False,3.0,1.0,True,Jesús Gil Manzano,Ciudad de Lucena,6000.0,Antonio Cobos,Marcelino,4-4-2,4-4-2,4743293,CDR,38059,1050,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743293,,
Copa del Rey,ES,First Round,2025-10-29,Club Portugalete,Real Valladolid CF,1,0,1,0,,,False,1,0,False,3.0,2.0,True,Alejandro Morilla Turrión,La Florida,1700.0,Egoitz Bilbao,Guillermo Almada,5-4-1,4-4-2,4743267,CDR,18691,366,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743267,,
Copa del Rey,ES,First Round,2025-10-29,Náxara CD,SD Eibar,2,4,2,4,,,False,2,4,False,3.0,2.0,True,Carlos Muñiz Muñoz,La Salera,1933.0,Arturo Guerra,Beñat San José,4-2-3-1,4-2-3-1,4743268,CDR,33818,1533,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743268,,
Copa del Rey,ES,First Round,2025-10-29,Real Jaén CF,CD Eldense,1,3,1,3,,,False,1,3,False,3.0,3.0,True,Álvaro Rodríguez Recio,La Victoria,4200.0,Manolo Herrero,Claudio Barragán,4-2-3-1,4-2-3-1,4743302,CDR,666,12567,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743302,,
Copa del Rey,ES,First Round,2025-10-29,Reus FC Reddis,CE Europa,1,1,2,2,4.0,3.0,True,6,5,False,3.0,3.0,True,Federico Sáiz Villares,Municipal de Reus,3000.0,Marc Carrasco,Aday Benítez,4-3-3 Attacking,4-3-3 Attacking,4743285,CDR,83848,20528,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743285,,
Copa del Rey,ES,First Round,2025-10-29,Salerm Puente Genil FC,FC Cartagena,0,1,0,1,,,False,0,1,False,3.0,3.0,True,Manuel García Gómez,Manuel Polinario,1000.0,Álvaro Cejudo,Javi Rey,4-2-3-1,4-4-2,4743301,CDR,60350,7077,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743301,,
Copa del Rey,ES,First Round,2025-10-29,Torrent CF,Juventud Torremolinos CF,3,1,3,1,,,False,3,1,False,3.0,3.0,True,David López Jiménez,San Gregorio,2500.0,Xavi Giménez,Antonio Calderón,4-2-3-1,4-4-2,4743300,CDR,67509,43454,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743300,,
