competizione,turno_diretta,data,casa,ospite,club_casa,club_ospite,id_diretta,game_id,turno_nostro
EFL Cup,1/16 FINALE,2025-09-23,Liverpool,Southampton,31,180,hAqnudFU,4715845.0,Third Round
EFL Cup,1/16 FINALE,2025-09-23,Barnsley,Brighton,349,1237,6kyhlf9r,4715841.0,Third Round
EFL Cup,1/16 FINALE,2025-09-23,Burnley,Cardiff,1132,603,0ERgymEd,4715843.0,Third Round
EFL Cup,1/16 FINALE,2025-09-23,Fulham,Cambridge Utd,931,986,EidDexH8,4715844.0,Third Round
EFL Cup,1/16 FINALE,2025-09-23,Lincoln,Chelsea,1198,631,jJOKknTk,4715847.0,Third Round
EFL Cup,1/16 FINALE,2025-09-23,Wigan,Wycombe,1071,2805,EFv0nYwe,4715853.0,Third Round
EFL Cup,1/16 FINALE,2025-09-23,Wolves,Everton,543,29,4nYpw9qp,4715854.0,Third Round
EFL Cup,1/16 FINALE,2025-09-23,Wrexham,Reading,1112,1032,KdovsIpI,4715855.0,Third Round
EFL Cup,1/16 FINALE,2025-09-17,Swansea,Nottingham,2288,703,n5fLgGoL,4715851.0,Third Round
EFL Cup,1/16 FINALE,2025-09-16,Brentford,Aston Villa,1148,405,bqSSmQc2,4715842.0,Third Round
EFL Cup,1/16 FINALE,2025-09-16,Crystal Palace,Millwall,873,1028,h8Euaj63,4715840.0,Third Round
EFL Cup,1/16 FINALE,2025-09-16,Sheffield Wed,Grimsby,1035,1034,bm6DeHaB,4715850.0,Third Round
EFL Cup,1/32 FINALE,2025-08-27,Everton,Mansfield,29,3820,hO6V7VAO,4709799.0,Second Round
EFL Cup,1/32 FINALE,2025-08-27,Grimsby,Manchester Utd,1034,985,bcaYVscE,4709802.0,Second Round
EFL Cup,1/32 FINALE,2025-08-27,Fulham,Bristol City,931,698,WUgcMUPH,4709800.0,Second Round
EFL Cup,1/32 FINALE,2025-08-27,Oxford Utd,Brighton,988,1237,vFulQCQh,4709801.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Sheffield Wed,Leeds,1035,399,2VXKoMhe,4709803.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Accrington,Doncaster,3688,2454,vec5K8fU,4709783.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Barnsley,Rotherham,349,1194,dhgf0L7l,4709792.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Birmingham,Port Vale,337,1211,O4pBdw7D,4715178.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Bournemouth,Brentford,989,1148,Yy3bDEPk,4709794.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Bromley,Wycombe,8981,2805,KUrgZen9,4709797.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Burnley,Derby,1132,22,Szd7Bhf2,4709786.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Burton,Lincoln,2963,1198,M3K02khf,4715177.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Cardiff,Cheltenham,603,3371,I5U4OheU,4709798.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Millwall,Coventry,1028,990,rmnuSYet,4709795.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Norwich,Southampton,1123,180,CSwdOje5,4709793.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Preston,Wrexham,466,1112,UqM5DZtm,4709791.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Stoke,Bradford City,512,1027,Gdx2XZGL,4709785.0,Second Round
