competizione,paese,turno,data,casa,ospite,gol_casa_finale,gol_ospite_finale,rigori_casa,rigori_ospite,divisione_casa,divisione_ospite,gia_abbiamo_formazioni
Copa del Rey,ES,Round of 16,2026-01-13,Cultural Leonesa,Athletic Bilbao,3,4,,,2.0,1.0,True
Copa del Rey,ES,Round of 16,2026-01-13,Deportivo de La Coruña,Atlético de Madrid,0,1,,,2.0,1.0,True
Copa del Rey,ES,Round of 16,2026-01-13,Real Sociedad,CA Osasuna,2,2,4.0,3.0,1.0,1.0,True
Copa del Rey,ES,Round of 16,2026-01-14,Albacete Balompié,Real Madrid,3,2,,,2.0,1.0,True
Copa del Rey,ES,Round of 16,2026-01-14,Deportivo Alavés,Rayo Vallecano,2,0,,,1.0,1.0,True
Copa del Rey,ES,Round of 16,2026-01-14,Real Betis Balompié,Elche CF,2,1,,,1.0,1.0,True
Copa del Rey,ES,Round of 16,2026-01-15,Burgos CF,Valencia CF,0,2,,,2.0,1.0,True
Copa del Rey,ES,Round of 16,2026-01-15,Racing Santander,FC Barcelona,0,2,,,2.0,1.0,True
Copa del Rey,ES,Quarter-Finals,2026-02-03,Albacete Balompié,FC Barcelona,1,2,,,2.0,1.0,True
Copa del Rey,ES,Quarter-Finals,2026-02-04,Deportivo Alavés,Real Sociedad,2,3,,,1.0,1.0,True
Copa del Rey,ES,Quarter-Finals,2026-02-04,Valencia CF,Athletic Bilbao,1,2,,,1.0,1.0,True
Copa del Rey,ES,Quarter-Finals,2026-02-05,Real Betis Balompié,Atlético de Madrid,0,5,,,1.0,1.0,True
Copa del Rey,ES,Semi-Finals 1st Leg,2026-02-11,Athletic Bilbao,Real Sociedad,0,1,,,1.0,1.0,True
Copa del Rey,ES,Semi-Finals 1st Leg,2026-02-12,Atlético de Madrid,FC Barcelona,4,0,,,1.0,1.0,True
Copa del Rey,ES,Semi-Finals 2nd Leg,2026-03-03,FC Barcelona,Atlético de Madrid,3,0,,,1.0,1.0,True
Copa del Rey,ES,Semi-Finals 2nd Leg,2026-03-04,Real Sociedad,Athletic Bilbao,1,0,,,1.0,1.0,True
Copa del Rey,ES,Final,2026-04-18,Atlético de Madrid,Real Sociedad,2,2,3.0,4.0,1.0,1.0,True
Coppa Italia,IT,Qualifying Round,2025-08-09,Virtus Entella,Ternana Calcio,4,0,,,2.0,3.0,True
Coppa Italia,IT,Qualifying Round,2025-08-10,Audace Cerignola,AS Avellino 1912,1,0,,,3.0,2.0,True
Coppa Italia,IT,Qualifying Round,2025-08-10,Calcio Padova,LR Vicenza,0,2,,,2.0,3.0,True
Coppa Italia,IT,Qualifying Round,2025-08-10,Delfino Pescara 1936,Rimini FC,1,0,,,2.0,3.0,True
Coppa Italia,IT,First Round,2025-08-15,FC Empoli,AC Reggiana 1919,1,1,3.0,0.0,2.0,2.0,True
Coppa Italia,IT,First Round,2025-08-15,Genoa CFC,LR Vicenza,3,0,,,1.0,3.0,True
Coppa Italia,IT,First Round,2025-08-15,US Lecce,SS Juve Stabia ,2,0,,,1.0,2.0,True
Coppa Italia,IT,First Round,2025-08-15,US Sassuolo,US Catanzaro,1,0,,,1.0,2.0,True
Coppa Italia,IT,First Round,2025-08-16,Cagliari Calcio,Virtus Entella,1,1,5.0,4.0,1.0,2.0,True
Coppa Italia,IT,First Round,2025-08-16,Como 1907,FC Südtirol,3,1,,,1.0,2.0,True
Coppa Italia,IT,First Round,2025-08-16,US Cremonese,Palermo FC,0,0,4.0,5.0,1.0,2.0,True
Coppa Italia,IT,First Round,2025-08-16,Venezia FC,Mantova 1911,4,0,,,2.0,2.0,True
Coppa Italia,IT,First Round,2025-08-17,AC Milan,AS Bari,2,0,,,1.0,2.0,True
Coppa Italia,IT,First Round,2025-08-17,AC Monza,Frosinone Calcio,0,1,,,2.0,2.0,True
Coppa Italia,IT,First Round,2025-08-17,Cesena FC,Pisa Sporting Club,0,0,1.0,2.0,2.0,1.0,True
Coppa Italia,IT,First Round,2025-08-17,Parma Calcio 1913,Delfino Pescara 1936,2,0,,,1.0,2.0,True
Coppa Italia,IT,First Round,2025-08-18,Audace Cerignola,Hellas Verona,1,1,2.0,4.0,3.0,1.0,True
Coppa Italia,IT,First Round,2025-08-18,Spezia Calcio,UC Sampdoria,1,1,4.0,2.0,2.0,2.0,True
Coppa Italia,IT,First Round,2025-08-18,Torino FC,Modena FC,1,0,,,1.0,2.0,True
Coppa Italia,IT,First Round,2025-08-18,Udinese Calcio,Carrarese Calcio 1908,2,0,,,1.0,2.0,True
Coppa Italia,IT,Second Round,2025-09-23,AC Milan,US Lecce,3,0,,,1.0,1.0,True
Coppa Italia,IT,Second Round,2025-09-23,Cagliari Calcio,Frosinone Calcio,4,1,,,1.0,2.0,True
Coppa Italia,IT,Second Round,2025-09-23,Udinese Calcio,Palermo FC,2,1,,,1.0,2.0,True
Coppa Italia,IT,Second Round,2025-09-24,Como 1907,US Sassuolo,3,0,,,1.0,1.0,True
Coppa Italia,IT,Second Round,2025-09-24,Hellas Verona,Venezia FC,0,0,4.0,5.0,1.0,2.0,True
Coppa Italia,IT,Second Round,2025-09-24,Parma Calcio 1913,Spezia Calcio,2,2,4.0,3.0,1.0,2.0,True
Coppa Italia,IT,Second Round,2025-09-25,Genoa CFC,FC Empoli,3,1,,,1.0,2.0,True
Coppa Italia,IT,Second Round,2025-09-25,Torino FC,Pisa Sporting Club,1,0,,,1.0,1.0,True
Coppa Italia,IT,Round of 16,2025-12-02,Juventus FC,Udinese Calcio,2,0,,,1.0,1.0,True
Coppa Italia,IT,Round of 16,2025-12-03,Atalanta BC,Genoa CFC,4,0,,,1.0,1.0,True
Coppa Italia,IT,Round of 16,2025-12-03,Inter Milan,Venezia FC,5,1,,,1.0,2.0,True
Coppa Italia,IT,Round of 16,2025-12-03,SSC Napoli,Cagliari Calcio,1,1,9.0,8.0,1.0,1.0,True
Coppa Italia,IT,Round of 16,2025-12-04,Bologna Football Club 1909,Parma Calcio 1913,2,1,,,1.0,1.0,True
Coppa Italia,IT,Round of 16,2025-12-04,Società Sportiva Lazio S.p.A.,AC Milan,1,0,,,1.0,1.0,True
Coppa Italia,IT,Round of 16,2026-01-13,Associazione Sportiva Roma,Torino FC,2,3,,,1.0,1.0,True
Coppa Italia,IT,Round of 16,2026-01-27,ACF Fiorentina,Como 1907,1,3,,,1.0,1.0,True
Coppa Italia,IT,Quarter-Finals,2026-02-04,Inter Milan,Torino FC,2,1,,,1.0,1.0,True
Coppa Italia,IT,Quarter-Finals,2026-02-05,Atalanta BC,Juventus FC,3,0,,,1.0,1.0,True
Coppa Italia,IT,Quarter-Finals,2026-02-10,SSC Napoli,Como 1907,1,1,6.0,7.0,1.0,1.0,True
Coppa Italia,IT,Quarter-Finals,2026-02-11,Bologna Football Club 1909,Società Sportiva Lazio S.p.A.,1,1,1.0,4.0,1.0,1.0,True
Coppa Italia,IT,Semi-Finals 1st Leg,2026-03-03,Como 1907,Inter Milan,0,0,,,1.0,1.0,True
Coppa Italia,IT,Semi-Finals 1st Leg,2026-03-04,Società Sportiva Lazio S.p.A.,Atalanta BC,2,2,,,1.0,1.0,True
Coppa Italia,IT,Semi-Finals 2nd Leg,2026-04-21,Inter Milan,Como 1907,3,2,,,1.0,1.0,True
Coppa Italia,IT,Semi-Finals 2nd Leg,2026-04-22,Atalanta BC,Società Sportiva Lazio S.p.A.,1,1,1.0,2.0,1.0,1.0,True
Coppa Italia,IT,Final,2026-05-13,Lazio,Internazionale,0,2,,,1.0,1.0,False
Coupe de France,FR,7° turno,2025-11-14,AS Cannes,FC Annecy,1,2,,,4.0,2.0,False
Coupe de France,FR,7° turno,2025-11-14,Olympique de Villefontaine,Grenoble Foot 38,0,3,,,7.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,AA Lapalisse,Stade poitevin FC,1,2,,,7.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,AC Cambrai,Entente Feignies Aulnoye,0,4,,,6.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,AC Seyssinet,SC Aubagne Air-Bel,0,0,4.0,3.0,5.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,AF Biars-Bretenoux,LB Châteauroux,0,2,,,6.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,APM Metz FC,FC Fleury 91,2,2,5.0,4.0,6.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,AS Gouzon,US Chauvigny,1,5,,,7.0,5.0,False
Coupe de France,FR,7° turno,2025-11-15,AS Magenta,FC Mulhouse,0,3,,,,5.0,False
Coupe de France,FR,7° turno,2025-11-15,AS Montréal-la Cluse,FC Chalon,0,3,,,8.0,5.0,False
Coupe de France,FR,7° turno,2025-11-15,AS Quetigny,AS Saint-Étienne,1,3,,,7.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,AS Steenvoorde,FC Chambly,1,1,4.0,2.0,6.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,ASPTT Dijon,Le Puy Foot 43,0,1,,,5.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,Andrézieux-Bouthéon FC,Hauts Lyonnais,1,1,3.0,4.0,4.0,5.0,False
Coupe de France,FR,7° turno,2025-11-15,Auch Football,Canet Roussillon FC,1,4,,,7.0,5.0,False
Coupe de France,FR,7° turno,2025-11-15,Bayeux FC,SM Caen,3,2,,,6.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,CA Pontarlier,FC Sochaux-Montbéliard,2,2,5.0,6.0,5.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,CMS Oissel,Quevilly Rouen Métropole,2,2,5.0,4.0,5.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,CS moulien,AS Le Gosier,2,3,,,6.0,6.0,False
Coupe de France,FR,7° turno,2025-11-15,Carnoux FC,AS Pirae,5,1,,,5.0,,False
Coupe de France,FR,7° turno,2025-11-15,Espoir de Sainte-Luce,Eveil des Trois-Ilets,0,0,5.0,4.0,6.0,7.0,False
Coupe de France,FR,7° turno,2025-11-15,FC 2 Rives 82,AS Mazères-Uzos-Rontignon,0,1,,,6.0,6.0,False
Coupe de France,FR,7° turno,2025-11-15,FC Challans,GSI Pontivy,0,2,,,5.0,5.0,False
Coupe de France,FR,7° turno,2025-11-15,FC Loon-Plage,Stade béthunois FC,1,1,5.0,6.0,7.0,6.0,False
Coupe de France,FR,7° turno,2025-11-15,FC Montceau Bourgogne,L'Etrat La Tour Sportif,2,1,,,6.0,7.0,False
Coupe de France,FR,7° turno,2025-11-15,FC Rhone Vallées,RC Pays de Grasse,1,1,4.0,3.0,6.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,FC Villars l'Isle SMB,US Sarre-Union,1,1,3.0,4.0,7.0,6.0,False
Coupe de France,FR,7° turno,2025-11-15,France d’Aizenay,ESTAC Troyes,0,3,,,6.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,IC Croix,Racing CFF,2,2,7.0,6.0,5.0,5.0,False
Coupe de France,FR,7° turno,2025-11-15,Lavaur FC,Rodez AF,1,3,,,7.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,Le Cellier Mauves FC,Stade lavallois,0,6,,,8.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,Les Bleuets Football,US Concarneau,0,3,,,8.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,L’Union Saint-Jean FC,Angoulême Charente FC,1,0,,,6.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,Montpellier Atlas Paillade,Bourg-Péronnas 01,0,2,,,6.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,Montreuil FC,Bandrélé FC,1,0,,,6.0,,False
Coupe de France,FR,7° turno,2025-11-15,Olympique CPAM,Stade de Reims,0,1,,,5.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,Orvault SF,VHF Les Herbiers,1,3,,,6.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,Racing Besançon,US Thionville Lusitanos,4,0,,,5.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,SC Locminé,EA Guingamp,1,2,,,4.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,SS Allinges,Istres FC,1,2,,,9.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,Sablé FC,US Saint-Malo,0,0,2.0,4.0,6.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,Sarreguemines FC,AS Furiani-Agliani,5,3,,,6.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,Seignosse CS FC,FC Marmande 47,2,3,,,7.0,6.0,False
Coupe de France,FR,7° turno,2025-11-15,Stade Quimperlois,Ancienne Château-Gontier,0,9,,,8.0,6.0,False
Coupe de France,FR,7° turno,2025-11-15,Strasbourg FCOSK,ASC Biesheim,2,3,,,6.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,Trélissac APFC,Pau FC,0,2,,,6.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,UES Montmorillon,SC Beaucouzé,0,1,,,7.0,6.0,False
Coupe de France,FR,7° turno,2025-11-15,US Auby,Amiens SC,0,3,,,9.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,US Avranches,Paris 13 Atletico,0,0,5.0,3.0,4.0,3.0,False
Coupe de France,FR,7° turno,2025-11-15,US Château-Malo,SC Bastia,0,6,,,8.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,US Granville,Dinan Léhon FC,3,1,,,4.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,US Ivry Football,Le Mans FC,1,1,2.0,4.0,5.0,2.0,False
Coupe de France,FR,7° turno,2025-11-15,US Orléans,Aviron bayonnais FC,3,0,,,3.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,US Prémontré Saint-Gobain,US Chantilly,0,3,,,8.0,4.0,False
Coupe de France,FR,7° turno,2025-11-15,Vendée Fontenay Foot,FC Chamalières,0,0,4.0,3.0,5.0,5.0,False
Coupe de France,FR,7° turno,2025-11-15,Yvetot AC,ASPTT Caen,2,1,,,6.0,6.0,False
Coupe de France,FR,7° turno,2025-11-15,Étoile de Matoury,Le Geldar de Kourou,1,1,2.0,3.0,6.0,6.0,False
Coupe de France,FR,7° turno,2025-11-16,AS Nancy-Lorraine,GSA Tomblaine,5,0,,,2.0,8.0,False
Coupe de France,FR,7° turno,2025-11-16,AS Saint-Brice Courcelles,FC Bogny-sur-Meuse,1,1,2.0,3.0,7.0,6.0,False
Coupe de France,FR,7° turno,2025-11-16,AS Savigneux Montbrison,US Feurs,3,5,,,8.0,5.0,False
Coupe de France,FR,7° turno,2025-11-16,AS Vitré,AG Plouvorn,1,1,2.0,4.0,5.0,6.0,False
Coupe de France,FR,7° turno,2025-11-16,Association Still Mutzig,US Raon-l'Étape,0,3,,,6.0,6.0,False
Coupe de France,FR,7° turno,2025-11-16,Atom Sports Pierrelatte,Lyon-La Duchère,0,2,,,8.0,5.0,False
Coupe de France,FR,7° turno,2025-11-16,Beaumont SA,FCM Aubervilliers,4,7,,,7.0,5.0,False
Coupe de France,FR,7° turno,2025-11-16,Blois Football 41,Clermont Foot 63,1,1,7.0,6.0,4.0,2.0,False
Coupe de France,FR,7° turno,2025-11-16,CS Avion,US Torcy,0,2,,,7.0,5.0,False
Coupe de France,FR,7° turno,2025-11-16,CS Plédran,Stade plabennécois,0,2,,,8.0,6.0,False
Coupe de France,FR,7° turno,2025-11-16,Cormontreuil FC,FCP Portugais Amiens,5,2,,,6.0,7.0,False
Coupe de France,FR,7° turno,2025-11-16,EA Saint-Renan,Stade briochin,0,4,,,6.0,3.0,False
