date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep,home_squad_value,away_squad_value,home_absent_count_est,home_absent_value_est,away_absent_count_est,away_absent_value_est,home_rest_days_full,away_rest_days_full,home_midweek_europe,away_midweek_europe,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open
2022-02-13,2122,serie_a,Atalanta,Juventus,1,1,D,3,6,3.06,3.28,2.44,2.01,1.82,2.4593,1.04207,2.4593,12.9,10.0,1.04207,11.285714285714286,6.0,427650000.0,706900000.0,7.0,99150000.0,3.0,86500000.0,3.0,3.0,1,1,2.88,3.42,2.47,1.87,1.96
2022-02-13,2122,serie_a,Empoli,Cagliari,1,1,D,4,5,2.02,3.6,3.65,1.74,2.11,0.62072,0.833332,0.62072,9.31578947368421,4.0,0.833332,10.266666666666667,6.0,76500000.0,152250000.0,4.0,8800000.0,7.0,43300000.0,7.0,7.0,0,0,2.0,3.77,3.57,1.61,2.32
2022-02-13,2122,serie_a,Genoa,Salernitana,1,1,D,5,4,1.87,3.51,4.45,2.09,1.76,2.59108,0.96554,2.59108,4.571428571428571,7.0,0.96554,10.25,5.0,140250000.0,69950000.0,6.0,25300000.0,3.0,3700000.0,8.0,6.0,0,0,1.86,3.63,4.34,2.01,1.82
2022-02-13,2122,serie_a,Milan,Sampdoria,1,0,H,7,1,1.39,4.89,8.07,1.66,2.23,1.58606,0.171196,1.58606,9.117647058823527,7.0,0.171196,10.461538461538462,2.0,,147550000.0,2.0,11000000.0,6.0,31800000.0,4.0,7.0,1,0,1.41,4.85,7.58,1.64,2.28
2022-02-13,2122,serie_a,Sassuolo,Roma,2,2,D,3,7,3.41,3.7,2.09,1.66,2.24,1.08187,1.74236,1.08187,14.823529411764708,6.0,0.981064,6.53125,5.0,197050000.0,400700000.0,2.0,12000000.0,2.0,33000000.0,3.0,5.0,1,0,3.35,3.79,2.07,1.58,2.39
2022-02-13,2122,serie_a,Verona,Udinese,4,0,H,5,7,1.91,3.49,4.25,1.98,1.85,0.622109,1.01066,0.622109,11.578947368421051,6.0,1.01066,5.3125,14.0,122550000.0,,4.0,9400000.0,3.0,12000000.0,7.0,7.0,0,0,1.88,3.57,4.29,1.93,1.89
2022-02-14,2122,serie_a,Spezia,Fiorentina,1,2,A,1,4,3.88,3.59,1.97,1.81,2.03,0.489481,2.36382,0.489481,16.058823529411764,3.0,1.60252,5.153846153846154,6.0,,272150000.0,2.0,6200000.0,1.0,2000000.0,7.0,4.0,0,1,3.82,3.61,1.96,1.74,2.11
2022-02-18,2122,serie_a,Juventus,Torino,1,1,D,3,3,1.68,3.66,5.8,2.1,1.75,0.773842,0.848296,0.773842,10.11111111111111,3.0,0.848296,7.214285714285714,6.0,706900000.0,198275000.0,6.0,106000000.0,3.0,22000000.0,5.0,6.0,0,0,1.64,3.73,6.16,2.11,1.75
2022-02-19,2122,serie_a,Roma,Verona,2,2,D,3,3,2.13,3.41,3.58,1.93,1.89,0.31384,0.82269,0.31384,6.344827586206897,6.0,0.82269,11.0,7.0,400700000.0,122550000.0,6.0,95000000.0,6.0,11900000.0,6.0,6.0,0,0,1.99,3.67,3.72,1.73,2.12
2022-02-19,2122,serie_a,Salernitana,Milan,2,2,D,5,5,10.42,5.38,1.32,1.73,2.14,0.602765,1.20115,0.602765,11.6,3.0,1.20115,6.407407407407407,10.0,69950000.0,,6.0,10000000.0,1.0,4000000.0,6.0,6.0,0,0,8.93,5.11,1.36,1.64,2.28
2022-02-19,2122,serie_a,Sampdoria,Empoli,2,0,H,3,2,2.39,3.44,2.98,1.69,2.18,0.565043,1.31858,0.565043,12.19047619047619,2.0,1.31858,6.620689655172414,9.0,147550000.0,76500000.0,7.0,39800000.0,5.0,11600000.0,6.0,6.0,0,0,2.21,3.5,3.28,1.69,2.18
2022-02-20,2122,serie_a,Fiorentina,Atalanta,1,0,H,3,1,2.61,3.47,2.71,1.69,2.18,0.71376,0.402145,0.71376,9.592592592592592,1.0,0.402145,7.621621621621622,0.0,272150000.0,427650000.0,3.0,23000000.0,8.0,104150000.0,6.0,3.0,0,1,2.58,3.48,2.71,1.71,2.15
2022-02-20,2122,serie_a,Inter,Sassuolo,0,2,A,8,5,1.27,6.47,9.77,1.3,3.54,3.34692,1.94409,3.34692,6.972222222222222,16.0,1.94409,14.695652173913045,9.0,565000000.0,197050000.0,4.0,78000000.0,2.0,12000000.0,4.0,7.0,1,0,1.3,5.84,9.43,1.37,3.08
2022-02-20,2122,serie_a,Udinese,Lazio,1,1,D,2,2,2.84,3.11,2.72,2.32,1.61,1.84915,1.33877,1.84915,12.3125,7.0,1.33877,17.642857142857142,9.0,,,3.0,12000000.0,1.0,7000000.0,7.0,3.0,0,1,2.99,3.33,2.44,1.93,1.89
2022-02-20,2122,serie_a,Venezia,Genoa,1,1,D,4,3,2.52,3.13,3.06,2.2,1.68,1.09963,1.76519,1.09963,6.222222222222222,3.0,1.76519,4.7,10.0,85975000.0,140250000.0,3.0,7000000.0,9.0,41300000.0,8.0,7.0,0,0,2.56,3.23,2.9,2.07,1.77
2022-02-21,2122,serie_a,Bologna,Spezia,2,1,H,7,2,1.88,3.56,4.33,1.99,1.84,2.0119,0.262135,2.0119,7.608695652173913,7.0,0.262135,9.307692307692308,1.0,166100000.0,,4.0,39500000.0,1.0,1200000.0,9.0,7.0,0,0,1.82,3.71,4.41,1.87,1.94
2022-02-21,2122,serie_a,Cagliari,Napoli,1,1,D,5,3,5.34,3.69,1.71,2.08,1.75,2.24847,1.45257,2.24847,6.027777777777778,8.0,1.45257,6.28,5.0,152250000.0,457550000.0,9.0,52100000.0,5.0,120000000.0,8.0,4.0,0,1,6.04,4.41,1.53,1.67,2.22
2022-02-25,2122,serie_a,Genoa,Inter,0,0,D,1,4,9.45,5.35,1.33,1.58,2.38,0.770871,1.15904,0.770871,15.0,2.0,1.15904,4.421052631578948,12.0,140250000.0,565000000.0,9.0,36500000.0,2.0,65000000.0,5.0,5.0,0,0,9.79,5.31,1.33,1.61,2.35
2022-02-25,2122,serie_a,Milan,Udinese,1,1,D,3,6,1.49,4.28,7.09,1.87,1.94,0.778008,0.698483,0.778008,4.9,11.0,0.698483,11.458333333333334,6.0,,,1.0,4000000.0,2.0,5000000.0,6.0,5.0,0,0,1.5,4.26,7.19,1.9,1.93
2022-02-26,2122,serie_a,Empoli,Juventus,2,3,A,2,5,4.79,3.88,1.73,1.72,2.14,1.37121,2.13647,1.37121,8.1,6.0,2.13647,22.5,7.0,76500000.0,706900000.0,3.0,9500000.0,7.0,167000000.0,7.0,4.0,0,1,5.16,3.98,1.67,1.74,2.12
2022-02-26,2122,serie_a,Salernitana,Bologna,1,1,D,4,3,3.37,3.4,2.21,1.9,1.92,1.32318,0.611632,1.32318,5.689655172413793,9.0,0.611632,6.571428571428571,5.0,69950000.0,166100000.0,5.0,7700000.0,4.0,39500000.0,7.0,5.0,0,0,3.4,3.45,2.18,1.91,1.92
2022-02-26,2122,serie_a,Sassuolo,Fiorentina,2,1,H,6,6,2.64,3.62,2.58,1.53,2.52,1.72605,2.13772,1.72605,15.428571428571429,3.0,2.13772,9.25,16.0,197050000.0,272150000.0,4.0,21000000.0,2.0,4800000.0,6.0,6.0,0,0,2.72,3.56,2.52,1.61,2.34
2022-02-27,2122,serie_a,Lazio,Napoli,1,2,A,8,7,2.89,3.33,2.54,1.9,1.93,1.43139,0.849244,1.43139,16.296296296296298,8.0,0.849244,15.454545454545457,7.0,,457550000.0,1.0,5000000.0,3.0,51500000.0,3.0,3.0,1,1,2.9,3.41,2.47,1.9,1.92
2022-02-27,2122,serie_a,Spezia,Roma,0,1,A,3,10,4.88,3.76,1.75,1.86,1.96,0.364313,4.55711,0.364313,16.818181818181817,2.0,3.79581,6.821428571428571,15.0,,400700000.0,3.0,5600000.0,3.0,46000000.0,6.0,8.0,0,0,4.6,3.75,1.78,1.78,2.05
2022-02-27,2122,serie_a,Torino,Cagliari,1,2,A,6,5,1.73,3.63,5.3,2.04,1.8,1.3681,1.69853,1.3681,6.3478260869565215,8.0,1.69853,10.63157894736842,3.0,198275000.0,152250000.0,2.0,16900000.0,7.0,39500000.0,9.0,6.0,0,0,1.67,3.68,5.79,1.96,1.87
2022-02-27,2122,serie_a,Verona,Venezia,3,1,H,11,4,1.66,3.93,5.37,1.73,2.12,3.53339,0.974017,3.53339,4.727272727272728,9.0,0.974017,6.666666666666667,2.0,122550000.0,85975000.0,8.0,31400000.0,4.0,8400000.0,8.0,7.0,0,0,1.55,4.19,6.31,1.67,2.23
2022-02-28,2122,serie_a,Atalanta,Sampdoria,4,0,H,9,1,1.39,4.89,8.43,1.66,2.23,2.69433,0.476071,2.69433,7.214285714285714,21.0,0.476071,19.933333333333334,3.0,427650000.0,147550000.0,6.0,118000000.0,3.0,25000000.0,4.0,9.0,1,0,1.45,4.61,7.0,1.64,2.27
2022-03-04,2122,serie_a,Inter,Salernitana,5,0,H,12,3,1.13,9.12,22.47,1.36,3.12,4.69296,0.836976,4.69296,7.7,16.0,0.836976,27.0,4.0,565000000.0,69950000.0,1.0,10000000.0,3.0,4400000.0,3.0,6.0,1,0,1.16,7.94,18.06,1.43,2.82
2022-03-05,2122,serie_a,Cagliari,Lazio,0,3,A,3,5,3.84,3.42,2.04,1.97,1.85,0.596491,2.68261,0.596491,11.92,5.0,1.92131,9.04,15.0,152250000.0,,7.0,39500000.0,2.0,6000000.0,6.0,6.0,0,0,3.63,3.41,2.11,1.93,1.89
2022-03-05,2122,serie_a,Roma,Atalanta,1,0,H,4,4,2.59,3.31,2.84,1.81,2.02,1.74727,1.05953,1.74727,14.1,5.0,1.05953,6.178571428571429,5.0,400700000.0,427650000.0,2.0,41000000.0,4.0,72000000.0,6.0,5.0,0,0,2.61,3.47,2.71,1.75,2.1
2022-03-05,2122,serie_a,Udinese,Sampdoria,2,1,H,5,4,1.79,3.67,4.73,1.91,1.91,2.57043,0.661531,2.57043,8.6,19.0,0.661531,5.84,5.0,,147550000.0,2.0,7000000.0,5.0,31500000.0,8.0,5.0,0,0,1.9,3.49,4.34,1.99,1.84
2022-03-06,2122,serie_a,Bologna,Torino,0,0,D,1,2,2.92,3.07,2.67,2.26,1.65,0.24493,0.754248,0.24493,6.052631578947368,2.0,0.754248,6.366666666666666,1.0,166100000.0,198275000.0,8.0,57150000.0,4.0,29500000.0,8.0,7.0,0,0,2.81,3.18,2.68,2.04,1.8
2022-03-06,2122,serie_a,Fiorentina,Verona,1,1,D,2,2,2.02,3.52,3.8,1.8,2.04,1.53524,0.97388,1.53524,7.708333333333333,3.0,0.212581,9.454545454545457,4.0,272150000.0,122550000.0,1.0,10000000.0,6.0,27900000.0,4.0,7.0,1,0,2.0,3.59,3.76,1.73,2.14
2022-03-06,2122,serie_a,Genoa,Empoli,0,0,D,7,2,2.64,3.28,2.79,1.9,1.92,1.26288,0.319298,1.26288,4.475,6.0,0.319298,6.111111111111111,2.0,140250000.0,76500000.0,8.0,32000000.0,2.0,5500000.0,9.0,8.0,0,0,2.52,3.4,2.84,1.81,2.01
2022-03-06,2122,serie_a,Juventus,Spezia,1,0,H,3,4,1.3,5.69,10.84,1.59,2.37,1.41795,0.984779,1.41795,6.676470588235294,10.0,0.984779,21.58823529411765,4.0,706900000.0,,7.0,172500000.0,3.0,7400000.0,4.0,7.0,1,0,1.25,6.08,13.06,1.65,2.25
2022-03-06,2122,serie_a,Napoli,Milan,0,1,A,2,7,2.15,3.31,3.66,1.99,1.84,0.377216,1.29857,0.377216,8.434782608695652,11.0,1.29857,12.96,6.0,457550000.0,,2.0,11500000.0,4.0,25000000.0,7.0,5.0,0,0,2.14,3.32,3.65,2.0,1.83
