Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
Coppa di Francia,32esimi di finale,21.12.2025,Concarneau,Nantes,3,5,,,,,3-5,,Sì,UBYXq2zB
Coppa di Francia,32esimi di finale,21.12.2025,Orleans,Dieppe,3,0,,,,,3-0,,Sì,QPn8TtjU
Coppa di Francia,32esimi di finale,21.12.2025,Le Puy-en-Velay,Bordeaux,1,0,,,,,1-0,,Sì,UDoWJ8Hs
Coppa di Francia,32esimi di finale,21.12.2025,Rennes,Les Sables,3,0,,,,,3-0,,Sì,bBWICiAE
Coppa di Francia,32esimi di finale,21.12.2025,Bassin d'Arcachon,Hauts Lyonnais,0,1,,,,,0-1,,Sì,Gpx6Wo1m
Coppa di Francia,32esimi di finale,21.12.2025,Montreuil,Chauvigny,2,1,,,,,2-1,,Sì,babB2iwo
Coppa di Francia,32esimi di finale,21.12.2025,Le Havre,Amiens,0,2,,,,,0-2,,Sì,lxsZC04c
Coppa di Francia,32esimi di finale,21.12.2025,Lione,Saint-Cyr Collonges,3,0,,,,,3-0,,Sì,xvkvInnf
Coppa di Francia,16esimi di finale,10.01.2026,Montreuil,Amiens,2,4,,,,,2-4,,Sì,tCiUKWfA
Coppa di Francia,16esimi di finale,10.01.2026,Orleans,Monaco,1,3,,,,,1-3,,Sì,A7ZtaAkl
Coppa di Francia,16esimi di finale,10.01.2026,Bastia,Troyes,0,2,,,,,0-2,,Sì,rLXlclK0
Coppa di Francia,16esimi di finale,10.01.2026,Angers,Tolosa,1,1,,,5,6,"1-1, poi rigori 5-6",,Sì,lvCX75YI
Coppa di Francia,16esimi di finale,10.01.2026,Istres,Laval,0,2,,,,,0-2,,Sì,MRKGBmZg
Coppa di Francia,16esimi di finale,10.01.2026,Le Puy-en-Velay,Reims,0,0,,,0,3,"0-0, poi rigori 0-3",,Sì,rck26hcE
Coppa di Francia,16esimi di finale,10.01.2026,Hauts Lyonnais,Lorient,1,3,,,,,1-3,,Sì,0YPHbtv8
Coppa di Francia,16esimi di finale,10.01.2026,Avranches,Strasburgo,0,6,,,,,0-6,,Sì,ppbLMhQc
Coppa di Francia,16esimi di finale,11.01.2026,Sochaux,Lens,0,3,,,,,0-3,,Sì,jNhA4WRQ
Coppa di Francia,16esimi di finale,11.01.2026,Metz,Montpellier,0,4,,,,,0-4,,Sì,GQDP9R36
Coppa di Francia,16esimi di finale,11.01.2026,Le Mans,Nancy,0,0,,,4,1,"0-0, poi rigori 4-1",,Sì,UTuxJVtK
Coppa di Francia,16esimi di finale,11.01.2026,Chantilly,Rennes,1,3,,,,,1-3,,Sì,8Q7A029e
Coppa di Francia,16esimi di finale,11.01.2026,Nantes,Nizza,1,1,,,3,5,"1-1, poi rigori 3-5",,Sì,2NmjeSlD
Coppa di Francia,16esimi di finale,11.01.2026,Lilla,Lione,1,2,,,,,1-2,,Sì,dpZbOQIa
Coppa di Francia,16esimi di finale,12.01.2026,PSG,Paris FC,0,1,,,,,0-1,,Sì,CbE12Ovq
Coppa di Francia,16esimi di finale,13.01.2026,Bayeux,Marsiglia,0,9,,,,,0-9,,Sì,E1H8D94s
Coppa di Francia,Ottavi di finale,03.02.2026,Reims,Le Mans,3,0,,,,,3-0,,Sì,hjFNoA04
Coppa di Francia,Ottavi di finale,03.02.2026,Marsiglia,Rennes,3,0,,,,,3-0,,Sì,dMzblRQk
Coppa di Francia,Ottavi di finale,04.02.2026,Nizza,Montpellier,3,2,,,,,3-2,,Sì,pphdVlGN
Coppa di Francia,Ottavi di finale,04.02.2026,Lione,Laval,2,0,,,,,2-0,,Sì,rwmYzgnn
Coppa di Francia,Ottavi di finale,04.02.2026,Tolosa,Amiens,1,0,,,,,1-0,,Sì,4UYSPSwo
Coppa di Francia,Ottavi di finale,04.02.2026,Lorient,Paris FC,2,0,,,,,2-0,,Sì,j3jtZWGb
Coppa di Francia,Ottavi di finale,04.02.2026,Troyes,Lens,2,4,,,,,2-4,,Sì,CIvkXAoB
Coppa di Francia,Ottavi di finale,05.02.2026,Strasburgo,Monaco,3,1,,,,,3-1,,Sì,dOLEmWVi
Coppa di Francia,Quarti di finale,03.03.2026,Strasburgo,Reims,2,1,,,,,2-1,,Sì,CAk4CKmL
Coppa di Francia,Quarti di finale,04.03.2026,Lorient,Nizza,0,0,,,5,6,"0-0, poi rigori 5-6",,Sì,ELSG0mFL
Coppa di Francia,Quarti di finale,04.03.2026,Marsiglia,Tolosa,2,2,,,3,4,"2-2, poi rigori 3-4",,Sì,S4U829p9
Coppa di Francia,Quarti di finale,05.03.2026,Lione,Lens,2,2,,,4,5,"2-2, poi rigori 4-5",,Sì,p4JneRxq
Coppa di Francia,Semifinali,21.04.2026,Lens,Tolosa,4,1,,,,,4-1,,Sì,KzyidZ9F
Coppa di Francia,Semifinali,22.04.2026,Strasburgo,Nizza,0,2,,,,,0-2,,Sì,jkORIym4
Coppa di Francia,Finale,22.05.2026,Lens,Nizza,3,1,,,,,3-1,Campo neutro - Stade de France.,Sì,SKrj5LdC
