Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Panchina,3,16,Kocik N.,Portiere,,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Panchina,4,15,Lauray A.,,,82',,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Panchina,5,13,Oggad B.,,7.2,61',,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Panchina,6,19,Rabillard A.,,6.5,70',,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Panchina,7,12,Ribelin A.,,,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Panchina,8,17,Robin M.,,7.9,61',,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,Perigny,Le Mans,Ospite,Le Mans,3-5-2,Panchina,9,20,Voyer H.,,,,,txNHmpyn
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,1,1,Vincent T.,Portiere,4.6,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,2,2,Ouraghi K.,,4.3,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,3,5,Cal C.,,6.3,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,4,4,Robert H.,Capitano,4.4,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,5,3,Lesage A.,,5.5,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,6,8,Oumedjeber S.,,5.2,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,7,6,Vanbaleghem V.,,6.3,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,8,10,Coppin T.,,6.5,,69',ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,9,9,Burnel R.,,5.8,,69',ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,10,7,Habbas R.,,6.5,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Titolare,11,11,Bouzar A.,,6.1,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Panchina,1,19,Bennekrouf S.,,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Panchina,2,13,Garcia A.,,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Panchina,3,15,Lachaab M.,,6.2,69',,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Panchina,4,20,Lorthiois L.,,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Panchina,5,14,Louchart M.,,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Panchina,6,16,Marchione G.,Portiere,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Panchina,7,17,Mendes B.,,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Panchina,8,12,Obino B.,,6.2,69',,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,4-3-3,Panchina,9,18,Vankelst M.,,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,1,1,Olliero A.,Portiere,6.9,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,2,3,Sekine H.,,8.5,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,3,2,Elie,,8.5,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,4,5,Pallois N.,Capitano,8.4,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,5,4,Busi M.,,6.9,,46',ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,6,8,Zabi P.,,7.9,,61',ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,7,6,Leoni T.,,8.0,,62',ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,8,9,Bojang A.,,7.9,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,9,10,Teuma T.,,8.8,,77',ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,10,11,Diarra T.,,7.4,,62',ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Titolare,11,7,Bassette N.,,7.8,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Panchina,1,12,Debondt M.,,7.0,46',,ryzrBvZ9
