Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Cartellini gialli,Cartellini rossi,Goal previsti (xG),Possesso palla,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Rimesse Laterali,Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
Coppa di Francia,7° turno,15.11.2025,Gouzon Avenir,Chauvigny,1° tempo,Ospite,Chauvigny,APCFgTRH,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Le Poinconnet,Romorantin,Totale,Casa,Le Poinconnet,G2ZtAlCb,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Le Poinconnet,Romorantin,Totale,Ospite,Romorantin,G2ZtAlCb,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Le Poinconnet,Romorantin,1° tempo,Casa,Le Poinconnet,G2ZtAlCb,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Le Poinconnet,Romorantin,1° tempo,Ospite,Romorantin,G2ZtAlCb,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Touraine,Epernay,Totale,Casa,Touraine,Um8NMRe4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Touraine,Epernay,Totale,Ospite,Epernay,Um8NMRe4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Touraine,Epernay,1° tempo,Casa,Touraine,Um8NMRe4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Touraine,Epernay,1° tempo,Ospite,Epernay,Um8NMRe4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Touraine,Epernay,2° tempo,Casa,Touraine,Um8NMRe4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Touraine,Epernay,2° tempo,Ospite,Epernay,Um8NMRe4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Boulogne,Dunkerque,Totale,Casa,Boulogne,fRHEfOU1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Boulogne,Dunkerque,Totale,Ospite,Dunkerque,fRHEfOU1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Boulogne,Dunkerque,2° tempo,Casa,Boulogne,fRHEfOU1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,16.11.2025,Boulogne,Dunkerque,2° tempo,Ospite,Dunkerque,fRHEfOU1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,28.11.2025,Concarneau,Stade Briochin,Totale,Casa,Concarneau,lAnqiQo3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,28.11.2025,Concarneau,Stade Briochin,Totale,Ospite,Stade Briochin,lAnqiQo3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,28.11.2025,Concarneau,Stade Briochin,2° tempo,Casa,Concarneau,lAnqiQo3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,28.11.2025,Concarneau,Stade Briochin,2° tempo,Ospite,Stade Briochin,lAnqiQo3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,28.11.2025,Annecy,Grenoble,Totale,Casa,Annecy,fFN7MEtC,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,28.11.2025,Annecy,Grenoble,Totale,Ospite,Grenoble,fFN7MEtC,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,28.11.2025,Annecy,Grenoble,1° tempo,Casa,Annecy,fFN7MEtC,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,28.11.2025,Annecy,Grenoble,1° tempo,Ospite,Grenoble,fFN7MEtC,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Hauts Lyonnais,Feurs,Totale,Casa,Hauts Lyonnais,A7Z4cnjn,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Hauts Lyonnais,Feurs,Totale,Ospite,Feurs,A7Z4cnjn,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Hauts Lyonnais,Feurs,2° tempo,Casa,Hauts Lyonnais,A7Z4cnjn,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Hauts Lyonnais,Feurs,2° tempo,Ospite,Feurs,A7Z4cnjn,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Romorantin,Blois,Totale,Casa,Romorantin,8ImsyEe5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Romorantin,Blois,Totale,Ospite,Blois,8ImsyEe5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Romorantin,Blois,1° tempo,Casa,Romorantin,8ImsyEe5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Romorantin,Blois,1° tempo,Ospite,Blois,8ImsyEe5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Raon L Etape,Mulhouse,Totale,Casa,Raon L Etape,2LpZxzRh,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Raon L Etape,Mulhouse,Totale,Ospite,Mulhouse,2LpZxzRh,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Raon L Etape,Mulhouse,2° tempo,Casa,Raon L Etape,2LpZxzRh,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,8° turno,29.11.2025,Raon L Etape,Mulhouse,2° tempo,Ospite,Mulhouse,2LpZxzRh,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Totale,Casa,IC Croix,ryzrBvZ9,,1.0,0.22,26%,4.0,1.0,0.0,2.0,72% (201/279),0.01,1.0,2.0,1.0,3.0,0.0,,10.0,0.0,1.0,6.0,40% (22/55),60% (52/86),6% (1/17),0.4,17.0,7.0,42% (5/12),31.0,24.0,8.0,1.0,1.0,5.0,2.14,-1.86
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Totale,Ospite,Reims,ryzrBvZ9,,0.0,3.1,74%,17.0,9.0,4.0,2.0,90% (766/848),2.14,6.0,2.0,10.0,7.0,1.0,,31.0,3.0,3.0,7.0,73% (49/67),83% (222/267),25% (4/16),1.8,26.0,6.0,89% (16/18),48.0,17.0,6.0,0.0,0.0,1.0,0.01,0.01
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,1° tempo,Casa,IC Croix,ryzrBvZ9,,1.0,0.07,26%,2.0,1.0,0.0,0.0,76% (106/140),0.01,0.0,1.0,0.0,2.0,0.0,,7.0,0.0,0.0,5.0,38% (10/26),66% (27/41),13% (1/8),0.2,7.0,5.0,67% (4/6),14.0,9.0,6.0,0.0,1.0,0.0,1.32,-2.68
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,1° tempo,Ospite,Reims,ryzrBvZ9,,0.0,1.53,74%,7.0,4.0,3.0,1.0,90% (374/417),1.32,2.0,1.0,3.0,4.0,1.0,,10.0,2.0,2.0,5.0,76% (28/37),82% (84/103),11% (1/9),0.64,9.0,5.0,85% (11/13),30.0,5.0,2.0,0.0,0.0,1.0,0.01,0.01
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,2° tempo,Casa,IC Croix,ryzrBvZ9,,,0.15,26%,2.0,0.0,0.0,2.0,68% (95/139),0.0,1.0,1.0,1.0,1.0,0.0,,3.0,0.0,1.0,1.0,41% (12/29),56% (25/45),0% (0/9),0.2,10.0,2.0,17% (1/6),17.0,15.0,2.0,1.0,0.0,5.0,0.82,0.82
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,2° tempo,Ospite,Reims,ryzrBvZ9,,,1.57,74%,10.0,5.0,1.0,1.0,91% (392/431),0.82,4.0,1.0,7.0,3.0,0.0,,21.0,1.0,1.0,2.0,70% (21/30),84% (138/164),43% (3/7),1.16,17.0,1.0,100% (5/5),18.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Totale,Casa,Guingamp,pQTMS30C,0.0,,0.75,57%,15.0,3.0,1.0,6.0,87% (479/552),0.13,10.0,2.0,8.0,7.0,0.0,,27.0,0.0,2.0,14.0,59% (32/54),70% (94/135),33% (8/24),0.91,20.0,9.0,79% (11/14),53.0,19.0,9.0,0.0,0.0,0.0,0.92,-0.08
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Totale,Ospite,Laval,pQTMS30C,4.0,,1.16,43%,4.0,1.0,1.0,1.0,78% (339/434),0.92,2.0,1.0,3.0,1.0,0.0,,6.0,1.0,0.0,9.0,40% (24/60),48% (30/63),0% (0/5),0.46,18.0,14.0,68% (15/22),50.0,34.0,11.0,0.0,0.0,3.0,0.13,0.13
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,1° tempo,Casa,Guingamp,pQTMS30C,,,0.21,53%,4.0,1.0,1.0,3.0,89% (268/302),0.09,2.0,1.0,3.0,1.0,0.0,,12.0,0.0,1.0,5.0,63% (19/30),74% (43/58),43% (3/7),0.49,10.0,4.0,80% (4/5),21.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,1° tempo,Ospite,Laval,pQTMS30C,,,0.0,47%,0.0,0.0,0.0,1.0,84% (230/275),0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,4.0,44% (12/27),56% (15/27),0% (0/4),0.04,5.0,5.0,78% (7/9),19.0,4.0,6.0,0.0,0.0,1.0,0.09,0.09
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,2° tempo,Casa,Guingamp,pQTMS30C,0.0,,0.54,63%,11.0,2.0,0.0,3.0,84% (211/250),0.04,8.0,1.0,5.0,6.0,0.0,,15.0,0.0,1.0,9.0,54% (13/24),66% (51/77),29% (5/17),0.42,10.0,5.0,78% (7/9),32.0,13.0,4.0,0.0,0.0,0.0,0.92,-0.08
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,2° tempo,Ospite,Laval,pQTMS30C,4.0,,1.16,37%,4.0,1.0,1.0,0.0,69% (109/159),0.92,2.0,1.0,3.0,1.0,0.0,,5.0,1.0,0.0,5.0,36% (12/33),42% (15/36),0% (0/1),0.42,13.0,9.0,62% (8/13),31.0,30.0,5.0,0.0,0.0,2.0,0.04,0.04
