Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Coppa di Francia,7° turno,15.11.2025,IC Croix,Racing CFF,1 Tempo,8',Ospite,Autogol,Ntalu L.,0-1,EgRJ5lw3
Coppa di Francia,7° turno,15.11.2025,IC Croix,Racing CFF,1 Tempo,12',Casa,Gol,Burnel R.,1-1,EgRJ5lw3
Coppa di Francia,7° turno,15.11.2025,IC Croix,Racing CFF,2 Tempo,80',Ospite,Gol,Emmanuel M.,1-2,EgRJ5lw3
Coppa di Francia,7° turno,15.11.2025,IC Croix,Racing CFF,2 Tempo,89',Casa,Gol,Bouzar A.,2-2,EgRJ5lw3
Coppa di Francia,7° turno,15.11.2025,Granville,Dinan Lehon,1 Tempo,23',Casa,Gol,Diarra D.,1-0,lhm2z4xH
Coppa di Francia,7° turno,15.11.2025,Granville,Dinan Lehon,1 Tempo,31',Casa,Gol,Cherchour M.,2-0,lhm2z4xH
Coppa di Francia,7° turno,15.11.2025,Granville,Dinan Lehon,2 Tempo,79',Ospite,Rigore Assegnato,Lefebvre V.,2-1,lhm2z4xH
Coppa di Francia,7° turno,15.11.2025,Granville,Dinan Lehon,2 Tempo,79',Ospite,Rigore,Lefebvre V.,2-1,lhm2z4xH
Coppa di Francia,7° turno,15.11.2025,Granville,Dinan Lehon,2 Tempo,90',Casa,Gol,Mouniama P.,3-1,lhm2z4xH
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,1 Tempo,10',Casa,Gol,Quehan M.,1-0,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,2 Tempo,53',Ospite,Gol,Lutundisa B.,1-1,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,2 Tempo,78',Ospite,Cartellino Rosso,Yohou S.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,1,Ospite,Rigore Assegnato,Quarshie E.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,1,Ospite,Rigore,Quarshie E.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,1,Casa,Rigore Assegnato,,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,1,Casa,Rigore sbagliato,,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,2,Ospite,Rigore Assegnato,Rabillard A.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,2,Ospite,Rigore sbagliato,Rabillard A.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,2,Casa,Rigore Assegnato,Spurio L.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,2,Casa,Rigore,Spurio L.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,3,Ospite,Rigore Assegnato,Robin M.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,3,Ospite,Rigore,Robin M.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,3,Casa,Rigore Assegnato,Soumare M.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,3,Casa,Rigore,Soumare M.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,4,Ospite,Rigore Assegnato,Gueye D.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,4,Ospite,Rigore,Gueye D.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,4,Casa,Rigore Assegnato,Bikouta D.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,4,Casa,Rigore sbagliato,Bikouta D.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,5,Ospite,Rigore Assegnato,Oggad B.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,Rigori,5,Ospite,Rigore,Oggad B.,,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Lapalisse,Stade Poitevin,1 Tempo,7',Casa,Gol,Giraud J.,1-0,b5RusjrC
Coppa di Francia,7° turno,15.11.2025,Lapalisse,Stade Poitevin,2 Tempo,76',Ospite,Gol,Franco L.,1-1,b5RusjrC
