date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep,home_squad_value,away_squad_value,home_absent_count_est,home_absent_value_est,away_absent_count_est,away_absent_value_est,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open,home_rest_days_full,away_rest_days_full,home_midweek_europe,away_midweek_europe
2021-02-07,2021,ligue_1,St Etienne,Metz,1,0,H,3,0,2.35,3.12,3.25,2.19,1.67,0.560201,0.327429,0.560201,10.185185185185183,2.0,0.327429,9.285714285714286,2.0,96675000.0,60750000.0,3.0,40000000.0,4.0,18500000.0,2.13,3.2,3.71,2.19,1.68,4.0,4.0,0,0
2021-02-07,2021,ligue_1,Nantes,Lille,0,2,A,1,3,4.56,3.36,1.87,2.34,1.59,0.400333,1.7948,0.400333,11.142857142857142,1.0,1.7948,13.2,8.0,88700000.0,228900000.0,1.0,2500000.0,2.0,22000000.0,4.61,3.5,1.82,2.23,1.65,4.0,4.0,0,0
2021-02-07,2021,ligue_1,Nimes,Monaco,3,4,A,4,5,6.6,4.61,1.46,1.55,2.44,1.54024,1.24576,1.54024,15.909090909090908,4.0,1.24576,9.689655172413794,5.0,54325000.0,307450000.0,2.0,2800000.0,1.0,20000000.0,7.71,4.82,1.4,1.55,2.44,4.0,4.0,0,0
2021-02-07,2021,ligue_1,Marseille,Paris SG,0,2,A,4,2,7.35,4.86,1.41,1.55,2.43,0.426125,1.23049,0.426125,11.620689655172416,8.0,1.23049,12.875,8.0,281800000.0,843250000.0,2.0,32000000.0,6.0,82000000.0,7.39,5.16,1.39,1.49,2.59,4.0,4.0,0,0
2021-02-07,2021,ligue_1,Montpellier,Dijon,4,2,H,11,5,1.73,3.7,4.92,1.89,1.91,5.60551,1.31726,5.60551,10.333333333333334,6.0,0.557169,16.058823529411764,2.0,83650000.0,63475000.0,0.0,0.0,3.0,8100000.0,1.75,3.65,4.83,1.94,1.87,4.0,4.0,0,0
2021-02-07,2021,ligue_1,Brest,Bordeaux,2,1,H,6,4,2.77,3.29,2.58,1.82,1.98,2.03597,0.635508,2.03597,12.962962962962964,12.0,0.635508,7.9655172413793105,3.0,69725000.0,95100000.0,2.0,16500000.0,2.0,22500000.0,2.58,3.19,2.86,2.0,1.81,4.0,4.0,0,0
2021-02-13,2021,ligue_1,Reims,Lens,1,1,D,6,6,3.09,2.98,2.52,2.35,1.59,0.679141,3.15679,0.679141,15.15,1.0,2.39676,6.653846153846154,8.0,73325000.0,46325000.0,1.0,2500000.0,1.0,8000000.0,3.0,2.99,2.59,2.3,1.61,7.0,7.0,0,0
2021-02-13,2021,ligue_1,Paris SG,Nice,2,1,H,4,5,1.31,5.6,8.81,1.45,2.7,2.47313,1.0503,2.47313,10.32258064516129,9.0,1.0503,13.48,6.0,843250000.0,210650000.0,6.0,235000000.0,4.0,65000000.0,1.2,7.17,12.48,1.37,3.04,6.0,6.0,0,0
2021-02-13,2021,ligue_1,Lyon,Montpellier,1,2,A,8,5,1.39,5.13,7.09,1.47,2.67,3.94358,1.75721,3.94358,9.391304347826088,16.0,1.75721,16.1875,2.0,366200000.0,83650000.0,3.0,65000000.0,0.0,0.0,1.37,5.29,7.5,1.47,2.64,7.0,6.0,0,0
2021-02-14,2021,ligue_1,Monaco,Lorient,2,2,D,4,2,1.42,4.79,7.14,1.59,2.34,1.93864,1.43939,1.17854,3.739130434782609,14.0,0.679293,27.266666666666666,1.0,307450000.0,43375000.0,2.0,26000000.0,2.0,4500000.0,1.38,5.04,7.61,1.57,2.39,7.0,8.0,0,0
